"","HP01_T","HP02_T","HP03_T","HP04_T","HP05_T","HP01_N","HP03_N","HP04_N","HP05_N"
"hsa-miR-1236-3p",0,0,0,13,0,0,28,0,0
"hsa-miR-1236-5p",0,0,0,0,0,0,19,0,10
"hsa-miR-1237-3p",10,0,10,18,0,0,16,0,12
"hsa-miR-1237-5p",16,0,11,28,0,0,154,25,17
"hsa-miR-1238-3p",0,0,0,0,0,0,14,0,0
"hsa-miR-1238-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-124-3p",0,15,0,0,0,0,0,0,0
"hsa-miR-124-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-1243",0,0,0,0,0,0,0,0,0
"hsa-miR-1244",0,0,0,11,0,0,21,0,0
"hsa-miR-1245a",0,0,0,0,0,0,0,0,0
"hsa-miR-1245b-3p",0,11,0,0,0,0,0,10,0
"hsa-miR-1245b-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-1246",75,89,493,77,462,16,265,29,38
"hsa-miR-1247-3p",49,36,0,26,18,21,27,14,38
"hsa-miR-1247-5p",1199,508,0,48,118,69,86,43,127
"hsa-miR-1248",12,11,0,12,0,0,249,16,10
"hsa-miR-1249-3p",12,45,0,23,0,0,16,0,0
"hsa-miR-1249-5p",0,0,0,0,0,0,23,0,0
"hsa-miR-1250-3p",0,0,0,18,0,0,17,0,12
"hsa-miR-1250-5p",0,0,0,14,0,0,0,0,0
"hsa-miR-1251-3p",0,0,0,10,0,0,0,0,0
"hsa-miR-1251-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-1252-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-1252-5p",12,12,0,29,11,0,0,0,13
"hsa-miR-1253",0,0,0,0,0,0,20,0,0
"hsa-miR-1254",0,0,0,16,0,0,21,0,10
"hsa-miR-1255a",0,48,0,32,15,17,15,0,0
"hsa-miR-1255b-5p",12,11,0,17,13,12,0,0,12
"hsa-miR-1256",0,0,0,0,0,0,12,0,0
"hsa-miR-1257",0,10,18,0,0,0,0,0,0
"hsa-miR-1258",0,0,0,0,0,0,14,0,0
"hsa-miR-125a-3p",36,139,55,183,95,51,20,82,69
"hsa-miR-125a-5p",79166,129560,25907,135942,41141,18166,4926,12017,19743
"hsa-miR-125b-1-3p",659,766,497,1805,636,351,17,819,893
"hsa-miR-125b-2-3p",1156,1344,24,208,369,154,32,430,449
"hsa-miR-125b-5p",232649,311079,59182,411420,68127,39353,3047,49819,105608
"hsa-miR-126-3p",73299,93611,15144,401547,29269,59801,21961,61531,87810
"hsa-miR-126-5p",14268,26492,2606,91231,4630,7953,4922,15842,21651
"hsa-miR-1260a",51,63,22,106,20,38,41,33,29
"hsa-miR-1260b",220,180,80,234,31,130,45,113,147
"hsa-miR-1261",0,0,0,0,0,0,12,0,0
"hsa-miR-1262",26,16,14,33,10,49,30,55,37
"hsa-miR-1263",0,0,0,0,0,0,0,0,0
"hsa-miR-1264",0,0,0,0,0,0,0,0,0
"hsa-miR-1265",0,0,0,0,0,0,0,0,0
"hsa-miR-1266-3p",0,0,0,0,0,0,14,0,0
"hsa-miR-1266-5p",0,0,15,15,49,12,181,16,18
"hsa-miR-1267",0,0,0,11,0,0,0,0,0
"hsa-miR-1268a",130,109,55,259,11,77,69,27,62
"hsa-miR-1268b",82,96,67,153,13,70,57,45,56
"hsa-miR-1269a",0,291,0,6292,0,0,13,0,0
"hsa-miR-1269b",0,1044,0,0,0,0,0,0,0
"hsa-miR-127-3p",9960,9497,330,273,4210,5505,212,7063,8188
"hsa-miR-127-5p",322,584,15,21,187,183,31,572,850
"hsa-miR-1270",71,34,126,94,36,91,17,30,87
"hsa-miR-1271-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-1271-5p",253,419,76,319,95,56,0,62,90
"hsa-miR-1272",27,14,20,70,12,11,72,12,21
"hsa-miR-1273a",0,0,0,27,11,0,23,0,20
"hsa-miR-1273c",12,12,0,58,0,0,169,0,20
"hsa-miR-1273d",0,0,0,0,0,0,66,0,0
"hsa-miR-1273e",0,0,0,20,0,0,58,11,10
"hsa-miR-1273f",0,0,0,17,0,0,92,0,0
"hsa-miR-1273g-3p",14,0,24,19,20,0,414,0,19
"hsa-miR-1273g-5p",0,0,0,0,0,0,13,0,0
"hsa-miR-1273h-3p",0,0,13,13,0,11,40,0,10
"hsa-miR-1273h-5p",0,0,0,0,0,0,56,0,0
"hsa-miR-1275",68,41,85,27,21,130,25,75,112
"hsa-miR-1276",0,0,10,0,12,0,11,0,0
"hsa-miR-1277-3p",0,12,0,12,0,0,0,0,0
"hsa-miR-1277-5p",154,467,243,383,128,136,37,88,162
"hsa-miR-1278",0,0,11,0,0,0,0,0,0
"hsa-miR-1279",0,0,0,0,0,0,0,0,0
"hsa-miR-128-1-5p",10,0,17,31,0,0,27,0,17
"hsa-miR-128-2-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-128-3p",2480,3999,2048,5375,989,1219,355,818,1449
"hsa-miR-1281",0,0,0,0,0,0,32,13,0
"hsa-miR-1282",0,0,0,13,0,0,10,0,0
"hsa-miR-1283",0,11,0,83,0,0,0,0,0
"hsa-miR-1284",0,0,0,0,0,0,16,0,0
"hsa-miR-1285-3p",13,21,16,28,15,0,26,18,20
"hsa-miR-1286",0,0,0,0,11,0,10,0,0
"hsa-miR-1287-3p",0,0,0,0,14,0,14,0,0
"hsa-miR-1287-5p",106,236,229,341,207,64,25,68,88
"hsa-miR-1288-3p",0,0,0,0,0,0,13,0,0
"hsa-miR-1288-5p",0,0,0,0,0,0,11,0,0
"hsa-miR-1289",0,0,0,0,0,0,13,0,0
"hsa-miR-129-1-3p",0,0,0,0,0,17,0,0,20
"hsa-miR-129-2-3p",112,31,0,0,0,28,12,57,34
"hsa-miR-129-5p",928,181,0,59,43,353,25,413,472
"hsa-miR-1290",0,0,10,0,11,0,22,0,0
"hsa-miR-1291",13,11,13,21,17,17,54,11,28
"hsa-miR-1292-3p",0,0,0,0,0,0,19,12,0
"hsa-miR-1292-5p",162,57,74,248,58,49,27,83,109
"hsa-miR-1293",13,0,23,0,13,0,17,0,11
"hsa-miR-1294",0,13,12,19,11,0,11,0,18
"hsa-miR-1295a",18,24,0,13,0,0,14,0,14
"hsa-miR-1295b-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-1296-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-1296-5p",123,215,55,125,146,30,20,20,38
"hsa-miR-1297",0,13,0,10,0,0,0,0,0
"hsa-miR-1298-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-1298-5p",0,0,0,12,0,0,10,0,0
"hsa-miR-1299",33,22,14,108,10,67,35,276,28
"hsa-miR-1301-3p",89,109,79,315,33,111,24,79,70
"hsa-miR-1301-5p",0,0,0,0,0,0,11,0,0
"hsa-miR-1302",0,0,0,0,0,0,0,0,0
"hsa-miR-1303",60,68,31,62,39,26,241,31,34
"hsa-miR-1304-3p",0,0,23,32,0,0,42,0,0
"hsa-miR-1304-5p",15,21,78,71,19,39,31,23,35
"hsa-miR-1305",0,10,0,0,0,0,16,0,0
"hsa-miR-1306-3p",22,32,20,75,42,16,24,31,20
"hsa-miR-1306-5p",41,37,44,48,62,19,0,0,27
"hsa-miR-1307-3p",1299,1015,2953,2278,1601,1065,286,1089,867
"hsa-miR-1307-5p",212,782,447,1121,205,219,118,648,593
"hsa-miR-130a-3p",934,3987,258,2313,365,691,104,826,1268
"hsa-miR-130a-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-130b-3p",133,769,361,733,602,489,175,555,860
"hsa-miR-130b-5p",67,144,51,213,57,229,25,198,186
"hsa-miR-132-3p",5101,5442,1887,10529,1483,4150,682,4373,2367
"hsa-miR-132-5p",581,724,199,1440,195,319,62,394,412
"hsa-miR-1321",0,0,0,0,0,0,14,0,0
"hsa-miR-1322",0,0,0,0,0,0,15,0,0
"hsa-miR-1323",0,0,0,75,0,0,0,0,0
"hsa-miR-1324",0,0,0,0,0,0,19,0,0
"hsa-miR-133a-3p",86,189,12,285,38,19,92,68,127
"hsa-miR-133a-5p",0,0,0,16,0,0,0,0,10
"hsa-miR-133b",10,12,0,21,0,0,16,13,15
"hsa-miR-134-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-134-5p",1300,1695,102,96,628,1792,40,3225,3103
"hsa-miR-1343-3p",0,0,0,17,11,13,35,0,0
"hsa-miR-1343-5p",0,0,25,0,0,0,162,11,0
"hsa-miR-135a-3p",0,0,0,0,0,143,14,64,50
"hsa-miR-135a-5p",128,141,10,88,113,340,32,529,373
"hsa-miR-135b-3p",89,351,97,0,392,26,0,37,43
"hsa-miR-135b-5p",2526,13799,2738,152,10737,1073,141,708,837
"hsa-miR-136-3p",723,1461,14,27,257,480,41,1302,1768
"hsa-miR-136-5p",187,540,0,15,101,156,20,514,443
"hsa-miR-137",74,207,1170,10,16,66,45,49,61
"hsa-miR-138-1-3p",0,0,0,22,0,0,13,0,10
"hsa-miR-138-2-3p",0,0,0,10,0,0,0,0,12
"hsa-miR-138-5p",43,244,0,757,23,35,27,101,145
"hsa-miR-139-3p",56,23,118,134,29,58,24,120,104
"hsa-miR-139-5p",67,64,120,273,34,96,71,110,169
"hsa-miR-140-3p",8082,14264,2591,19759,7209,4050,1689,8938,11609
"hsa-miR-140-5p",692,1315,231,2537,637,722,188,592,803
"hsa-miR-141-3p",26780,62530,26143,405,16482,57311,16234,39808,56944
"hsa-miR-141-5p",1024,1565,953,22,472,1321,248,904,931
"hsa-miR-142-3p",21760,30614,11379,66469,10571,40489,8622,16786,22885
"hsa-miR-142-5p",4902,10433,2481,8257,967,3661,2440,3290,5656
"hsa-miR-143-3p",545251,679635,95534,504250,365577,135477,88892,145596,317500
"hsa-miR-143-5p",969,2490,151,1571,913,283,169,499,934
"hsa-miR-144-3p",0,24,11,200,0,0,140,19,16
"hsa-miR-144-5p",42,74,38,801,13,38,528,131,79
"hsa-miR-145-3p",992,2235,168,1163,455,210,150,377,695
"hsa-miR-145-5p",10615,23834,1179,15748,6461,2985,2367,5205,14879
"hsa-miR-1468-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-1468-5p",79,70,25,105,53,152,13,143,120
"hsa-miR-1469",0,0,66,12,0,0,334,22,13
"hsa-miR-146a-3p",15,98,0,128,12,0,0,33,30
"hsa-miR-146a-5p",21085,92213,15000,155953,14664,13295,3886,21316,53036
"hsa-miR-146b-3p",999,674,743,930,432,705,78,1252,941
"hsa-miR-146b-5p",40718,47335,47606,74026,20132,34240,3735,82824,74759
"hsa-miR-1470",0,0,0,0,0,0,40,0,0
"hsa-miR-1471",0,0,0,0,0,0,12,0,0
"hsa-miR-147a",0,0,0,0,0,0,0,0,0
"hsa-miR-147b",50,61,153,37,194,64,20,61,107
"hsa-miR-148a-3p",150897,159601,31429,31813,116723,1336241,69469,1061360,1033614
"hsa-miR-148a-5p",184,236,33,36,80,497,89,1455,565
"hsa-miR-148b-3p",10469,15313,7635,21902,14374,10619,1724,6660,9736
"hsa-miR-148b-5p",272,286,229,398,646,251,55,164,258
"hsa-miR-149-3p",0,0,13,0,0,13,52,0,11
"hsa-miR-149-5p",132,1435,188,270,168,124,23,111,150
"hsa-miR-150-3p",27,12,0,19,0,25,23,21,29
"hsa-miR-150-5p",2830,2969,607,1358,258,1301,775,848,1169
"hsa-miR-151a-3p",12734,17290,29053,30824,26657,12411,2095,11294,16539
"hsa-miR-151b/151a-5p",650,1158,782,1606,842,818,151,498,690
"hsa-miR-152-3p",14439,31702,3009,36074,6974,6390,935,7176,9816
"hsa-miR-152-5p",18,33,0,33,14,0,11,12,16
"hsa-miR-153-3p",54,77,24,105,14,31,19,44,52
"hsa-miR-153-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-1537-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-1537-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-1538",0,0,0,0,0,0,0,0,0
"hsa-miR-1539",20,20,19,40,15,0,35,33,34
"hsa-miR-154-3p",17,23,0,0,0,15,0,18,11
"hsa-miR-154-5p",239,545,0,15,66,187,20,456,381
"hsa-miR-155-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-155-5p",18939,16953,59008,33565,8080,17739,5487,6945,15124
"hsa-miR-1587",0,0,0,0,0,0,0,0,0
"hsa-miR-15a-3p",0,14,0,14,0,0,0,0,0
"hsa-miR-15a-5p",862,3189,508,4797,478,614,413,704,974
"hsa-miR-15b-3p",204,524,286,480,98,82,56,58,95
"hsa-miR-15b-5p",1488,3907,1041,2936,426,523,371,249,342
"hsa-miR-16-1-3p",0,25,0,15,0,0,0,0,0
"hsa-miR-16-2-3p",775,1073,254,1075,274,547,147,295,387
"hsa-miR-16-5p",203174,317087,156625,682079,119828,221894,77891,76276,122955
"hsa-miR-17-3p",132,436,134,185,86,69,29,92,128
"hsa-miR-17-5p",346,893,527,573,261,279,115,181,182
"hsa-miR-181a-2-3p",1294,1937,625,2628,1548,1124,151,934,998
"hsa-miR-181a-3p",614,1383,320,5341,492,255,73,407,558
"hsa-miR-181a-5p",45313,58427,7915,84038,29306,8422,3741,26876,9921
"hsa-miR-181b-2-3p",22,44,11,36,14,0,0,23,30
"hsa-miR-181b-3p",30,67,33,442,30,17,0,20,30
"hsa-miR-181b-5p",11974,15899,3991,19163,12606,3160,908,6375,2794
"hsa-miR-181c-3p",194,534,106,366,194,67,20,198,194
"hsa-miR-181c-5p",521,1293,115,356,465,136,42,698,309
"hsa-miR-181d-3p",10,0,0,13,11,0,30,0,0
"hsa-miR-181d-5p",773,1919,406,724,1117,328,55,665,313
"hsa-miR-182-3p",0,13,0,0,0,0,12,0,0
"hsa-miR-182-5p",30946,29944,29185,962,30493,22573,1448,16650,15860
"hsa-miR-1825",0,0,0,0,0,0,14,0,0
"hsa-miR-1827",16,14,0,12,10,0,22,0,0
"hsa-miR-183-3p",14,34,23,0,13,0,0,0,0
"hsa-miR-183-5p",12066,12815,18310,417,28989,11182,651,3992,4938
"hsa-miR-184",79,418,176,41,28,136,11,33,168
"hsa-miR-185-3p",42,60,38,107,88,37,29,46,40
"hsa-miR-185-5p",1399,4012,1757,7245,3020,1511,424,2642,2889
"hsa-miR-186-3p",10,24,0,0,0,0,14,11,13
"hsa-miR-186-5p",2715,10592,2456,6947,2129,1417,796,3472,4174
"hsa-miR-187-3p",14,110,28,91,12,12,0,29,40
"hsa-miR-187-5p",0,0,0,0,0,0,10,0,0
"hsa-miR-188-3p",0,0,0,10,0,0,16,0,0
"hsa-miR-188-5p",13,38,0,19,0,0,12,10,0
"hsa-miR-18a-3p",42,122,41,44,35,21,36,36,14
"hsa-miR-18a-5p",47,153,102,134,54,67,35,29,37
"hsa-miR-18b-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-18b-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-1908-3p",0,0,15,16,10,0,115,42,14
"hsa-miR-1908-5p",0,0,0,0,0,0,29,0,0
"hsa-miR-1909-3p",19,0,0,15,12,13,21,0,0
"hsa-miR-1909-5p",22,10,0,0,0,0,18,0,10
"hsa-miR-190a-3p",0,25,0,0,0,0,0,0,0
"hsa-miR-190a-5p",679,1717,99,1152,674,472,405,271,524
"hsa-miR-190b",89,169,66,118,155,457,13,345,301
"hsa-miR-191-3p",61,71,43,120,30,41,14,71,61
"hsa-miR-191-5p",29275,36096,24892,61083,13671,13721,5604,14595,18216
"hsa-miR-1910-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-1910-5p",0,0,0,0,0,0,13,0,0
"hsa-miR-1911-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-1911-5p",10,17,0,21,0,0,10,13,13
"hsa-miR-1912",0,0,0,0,0,0,14,0,0
"hsa-miR-1913",0,0,0,0,0,0,23,0,0
"hsa-miR-1914-3p",0,0,0,0,0,0,23,0,0
"hsa-miR-1914-5p",0,0,0,15,0,0,32,0,10
"hsa-miR-1915-3p",0,0,17,11,0,0,498,10,0
"hsa-miR-1915-5p",0,0,0,15,0,0,21,10,0
"hsa-miR-192-3p",386,16,12,13,141,42,364,111,129
"hsa-miR-192-5p",134620,3203,2007,1837,40157,27603,162899,41988,55855
"hsa-miR-193a-3p",11,23,0,22,0,0,13,20,13
"hsa-miR-193a-5p",559,940,643,2172,187,529,32,725,482
"hsa-miR-193b-3p",103,404,59,35,54,40,0,173,76
"hsa-miR-193b-5p",88,203,115,77,60,104,17,269,102
"hsa-miR-194-3p",505,0,0,0,69,80,219,51,52
"hsa-miR-194-5p",21557,834,245,266,5963,2128,28227,2546,2754
"hsa-miR-195-3p",304,298,33,35,70,71,39,78,135
"hsa-miR-195-5p",10476,17012,733,2111,1495,2841,1345,1802,3757
"hsa-miR-196a-3p",22,39,12,12,13,0,14,15,14
"hsa-miR-196a-5p",3537,5620,9268,86,16429,509,23,50,227
"hsa-miR-196b-3p",0,0,0,0,0,0,49,0,0
"hsa-miR-196b-5p",1215,1182,1979,6048,4101,226,33,36,121
"hsa-miR-197-3p",628,973,570,973,383,558,108,416,726
"hsa-miR-197-5p",0,0,11,13,0,0,25,10,0
"hsa-miR-1972",0,0,0,0,0,0,49,0,10
"hsa-miR-1973",0,0,0,0,0,0,0,0,0
"hsa-miR-1976",25,30,22,35,20,22,23,0,10
"hsa-miR-198",0,0,0,11,0,0,14,0,0
"hsa-miR-199a-3p",415045,782443,23779,732008,209768,141246,17994,195100,352886
"hsa-miR-199a-5p",16038,45115,830,31538,11648,5942,1020,7209,13221
"hsa-miR-199b-3p",53939,102360,2650,101939,22635,16259,1981,24968,42228
"hsa-miR-199b-5p",15401,54333,625,21169,7208,2208,712,7164,13544
"hsa-miR-19a-3p",204,1268,230,607,141,191,111,288,382
"hsa-miR-19a-5p",0,26,0,24,0,0,0,58,72
"hsa-miR-19b-1-5p",0,28,0,0,0,0,10,14,0
"hsa-miR-19b-2-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-19b-3p",1889,11415,1552,3485,1012,1038,791,2851,3078
"hsa-miR-200a-3p",33433,45077,21652,969,69383,37615,14626,27485,43933
"hsa-miR-200a-5p",700,536,363,41,928,241,104,389,476
"hsa-miR-200b-3p",23618,34072,8588,402,15130,12720,8020,13129,15355
"hsa-miR-200b-5p",763,826,321,22,540,484,164,444,544
"hsa-miR-200c-3p",58351,73095,45505,401,30137,84572,12228,39945,53189
"hsa-miR-200c-5p",123,248,147,0,46,90,25,216,140
"hsa-miR-202-3p",0,0,0,0,0,0,0,11,0
"hsa-miR-202-5p",10,0,0,0,0,23,0,18,40
"hsa-miR-203a-3p",11527,67800,4774,201,8999,1302,945,1314,2058
"hsa-miR-203a-5p",11,14,12,0,26,0,0,0,13
"hsa-miR-203b-3p",52,55,78,0,307,24,16,27,33
"hsa-miR-203b-5p",814,3843,298,27,672,124,43,131,146
"hsa-miR-204-3p",0,0,0,11,0,0,0,0,0
"hsa-miR-204-5p",232,164,15,223,25,144,116,52,256
"hsa-miR-205-3p",0,229,44,0,0,0,21,0,0
"hsa-miR-205-5p",432,516895,94003,88,17291,4349,27,143,121
"hsa-miR-2052",0,0,0,0,0,0,0,0,0
"hsa-miR-2053",0,0,0,0,0,0,0,0,0
"hsa-miR-2054",0,0,0,30,0,0,0,12,22
"hsa-miR-206",0,0,0,40,64,12,45,28,68
"hsa-miR-208a-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-208a-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-208b-3p",0,18,24,19,0,24,14,44,66
"hsa-miR-208b-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-20a-3p",35,131,20,51,13,28,11,29,20
"hsa-miR-20a-5p",1895,7362,2090,2705,428,972,788,653,724
"hsa-miR-20b-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-20b-5p",52,169,41,426,19,93,66,42,162
"hsa-miR-21-3p",2550,6876,2914,5457,2415,839,100,2366,2153
"hsa-miR-21-5p",1450717,3637206,994921,2323183,1500592,640666,100258,452143,799915
"hsa-miR-210-3p",1191,3344,2160,1106,260,121,47,122,247
"hsa-miR-210-5p",28,19,16,15,0,0,0,0,0
"hsa-miR-211-3p",0,0,0,0,0,0,23,0,0
"hsa-miR-211-5p",0,0,0,0,0,0,0,10,0
"hsa-miR-2110",65,80,90,117,53,68,47,86,48
"hsa-miR-2113",0,0,0,0,0,0,10,0,0
"hsa-miR-2114-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-2114-5p",0,0,0,11,0,0,0,24,16
"hsa-miR-2115-3p",10,0,0,0,0,0,18,0,0
"hsa-miR-2115-5p",0,0,0,10,0,0,24,0,0
"hsa-miR-2116-3p",40,42,28,45,19,12,16,14,12
"hsa-miR-2116-5p",22,58,14,32,18,0,0,0,10
"hsa-miR-2117",53,0,25,351,283,30,91,53,463
"hsa-miR-212-3p",44,108,27,236,23,58,25,72,55
"hsa-miR-212-5p",149,109,43,247,46,112,18,130,79
"hsa-miR-214-3p",4337,10807,124,4035,990,1201,148,3011,1967
"hsa-miR-214-5p",155,656,19,472,112,68,13,183,282
"hsa-miR-215-3p",182,0,0,0,0,0,711,0,0
"hsa-miR-215-5p",18117,87,558,216,1154,754,118702,1025,1067
"hsa-miR-216a-3p",10,26,0,20,0,2255,21,1056,1475
"hsa-miR-216a-5p",109,806,47,189,132,36994,93,18214,25345
"hsa-miR-216b-3p",0,0,0,0,0,458,14,315,513
"hsa-miR-216b-5p",0,15,0,12,0,944,13,1985,699
"hsa-miR-217",130,889,59,344,203,54281,229,52688,83320
"hsa-miR-218-1-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-218-2-3p",27,59,0,105,11,13,11,57,23
"hsa-miR-218-5p",2098,5861,263,21754,1205,1339,306,2708,3166
"hsa-miR-219a-1-3p",0,0,14,16,11,21,187,11,26
"hsa-miR-219a-2-3p",0,0,0,0,0,0,10,0,0
"hsa-miR-219a-5p",28,69,40,40,47,22,19,71,111
"hsa-miR-219b-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-219b-5p",12,10,13,23,22,23,13,20,23
"hsa-miR-22-3p",6114,24113,1459,12545,6176,2949,842,7318,7817
"hsa-miR-22-5p",336,976,92,533,157,146,62,156,187
"hsa-miR-221-3p",22325,67609,52624,105919,33782,6402,2425,8396,10284
"hsa-miR-221-5p",568,1646,1115,3628,771,237,83,203,389
